Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetime,hour,month,weekday,NO2_NOx_ratio,sensor_mean,log_CO,is_rush_hour,temp_cat,temp_cat_num,pollution_score,rank_co
23/11/2004,19.00.00,11.9,2008.0,154.0,50.6,1980.0,1389.0,325.0,220.0,2562.0,2342.0,12.4,74.7,1.0741,2004-11-23 19:00:00,19,11,1,0.1583873290136789,1843.4,2.5572273113676265,1,templado,1,5,1
23/11/2004,20.00.00,11.5,1918.0,154.0,49.4,1958.0,1358.0,335.0,190.0,2477.0,2237.0,11.5,76.2,1.0324,2004-11-23 20:00:00,20,11,1,0.13991163475699558,1785.0,2.5257286443082556,1,templado,1,5,2
23/11/2004,18.00.00,10.2,1982.0,154.0,49.5,1959.0,1369.0,322.0,227.0,2536.0,2386.0,13.2,72.6,1.0936,2004-11-23 18:00:00,18,11,1,0.1658144631117604,1837.0,2.4159137783010487,1,templado,1,5,3
17/11/2004,18.00.00,10.2,1802.0,154.0,47.7,1924.0,748.0,356.0,192.0,2235.0,2452.0,13.7,52.8,0.8244,2004-11-17 18:00:00,18,11,2,0.25668449197860965,1753.8,2.4159137783010487,1,templado,1,5,3
26/11/2004,18.00.00,10.1,1956.0,154.0,45.2,1877.0,1389.0,347.0,255.0,2338.0,2465.0,15.5,62.8,1.0979,2004-11-26 18:00:00,18,11,4,0.183585313174946,1796.6,2.4069451083182885,1,calido,2,5,4
13/12/2004,18.00.00,9.9,1881.0,154.0,50.8,1983.0,1479.0,334.0,269.0,2271.0,2523.0,12.6,55.9,0.8142,2004-12-13 18:00:00,18,12,0,0.18187964841108858,1798.4,2.388762789235098,1,templado,1,5,5
26/10/2004,18.00.00,9.5,1908.0,154.0,52.1,2007.0,952.0,325.0,180.0,2775.0,2372.0,22.5,61.5,1.6579,2004-10-26 18:00:00,18,10,1,0.18907563025210083,1877.4,2.3513752571634776,1,calido,2,5,6
02/12/2004,19.00.00,9.4,1816.0,154.0,43.9,1851.0,1184.0,341.0,171.0,2405.0,2069.0,15.4,73.0,1.2688,2004-12-02 19:00:00,19,12,3,0.14442567567567569,1696.4,2.341805806147327,1,calido,2,5,7
14/12/2004,18.00.00,9.3,1075.0,154.0,8.5,919.0,1310.0,795.0,248.0,1447.0,990.0,16.9,49.3,0.9597,2004-12-14 18:00:00,18,12,1,0.18931297709923664,1045.2,2.33214389523559,1,calido,2,5,8
02/11/2004,20.00.00,9.2,1778.0,154.0,48.2,1935.0,859.0,349.0,119.0,2643.0,1927.0,20.9,67.5,1.6539,2004-11-02 20:00:00,20,11,1,0.13853317811408614,1726.4,2.322387720290225,1,calido,2,5,9
16/12/2004,20.00.00,9.1,1075.0,154.0,8.5,919.0,1253.0,795.0,219.0,1447.0,990.0,16.9,49.3,0.9597,2004-12-16 20:00:00,20,12,3,0.174780526735834,1045.2,2.312535423847214,1,calido,2,5,10
23/12/2004,20.00.00,9.1,1701.0,154.0,36.3,1692.0,1220.0,402.0,252.0,1832.0,2415.0,6.2,56.9,0.5419,2004-12-23 20:00:00,20,12,3,0.20655737704918034,1608.4,2.312535423847214,1,templado,1,5,10
17/01/2005,19.00.00,8.7,1615.0,154.0,37.2,1712.0,1230.0,384.0,225.0,1811.0,2312.0,7.8,48.1,0.5115,2005-01-17 19:00:00,19,1,0,0.18292682926829268,1566.8,2.272125885509337,1,templado,1,5,11
23/12/2004,19.00.00,8.7,1704.0,154.0,36.1,1689.0,1070.0,402.0,242.0,1820.0,2480.0,7.1,50.3,0.51,2004-12-23 19:00:00,19,12,3,0.2261682242990654,1619.0,2.272125885509337,1,templado,1,5,11
04/11/2004,18.00.00,8.7,1882.0,154.0,47.5,1920.0,1014.0,328.0,171.0,2609.0,2204.0,23.1,61.1,1.7082,2004-11-04 18:00:00,18,11,3,0.16863905325443787,1788.6,2.272125885509337,1,calido,2,5,11
16/12/2004,21.00.00,8.6,1075.0,154.0,8.5,919.0,1237.0,795.0,203.0,1447.0,990.0,16.9,49.3,0.9597,2004-12-16 21:00:00,21,12,3,0.16410670978173,1045.2,2.2617630984737906,0,calido,2,4,12
16/12/2004,19.00.00,8.6,1075.0,154.0,8.5,919.0,1235.0,795.0,227.0,1447.0,990.0,16.9,49.3,0.9597,2004-12-16 19:00:00,19,12,3,0.18380566801619433,1045.2,2.2617630984737906,1,calido,2,5,12
17/01/2005,18.00.00,8.6,1683.0,154.0,43.0,1831.0,1216.0,374.0,272.0,1964.0,2331.0,9.2,39.3,0.4573,2005-01-17 18:00:00,18,1,0,0.2236842105263158,1636.6,2.2617630984737906,1,templado,1,5,12
19/11/2004,20.00.00,8.6,1510.0,154.0,27.9,1501.0,881.0,456.0,185.0,1901.0,1855.0,15.2,57.5,0.9829,2004-11-19 20:00:00,20,11,4,0.20998864926220204,1444.6,2.2617630984737906,1,calido,2,5,12
23/12/2004,18.00.00,8.5,1630.0,154.0,33.1,1622.0,1089.0,421.0,247.0,1757.0,2238.0,8.0,45.9,0.4936,2004-12-23 18:00:00,18,12,3,0.22681359044995408,1533.6,2.2512917986064953,1,templado,1,5,13
24/11/2004,20.00.00,8.4,1669.0,154.0,36.0,1686.0,1074.0,384.0,181.0,2066.0,1961.0,10.1,79.3,0.9795,2004-11-24 20:00:00,20,11,2,0.1685288640595903,1553.2,2.2407096892759584,1,templado,1,5,14
10/02/2005,20.00.00,8.4,1075.0,154.0,8.5,919.0,1028.0,795.0,276.0,1447.0,990.0,16.9,49.3,0.9597,2005-02-10 20:00:00,20,2,3,0.26848249027237353,1045.2,2.2407096892759584,1,calido,2,5,14
